"Time (s) Run #1","Voltage (V) Run #1","Time (s) Run #2","Voltage (V) Run #2","Time (s) Run #3","Voltage (V) Run #3","Time (s) Run #4","Voltage (V) Run #4","Time (s) Run #5","Voltage (V) Run #5","Time (s) Run #6","Voltage (V) Run #6","Time (s) Run #7","Voltage (V) Run #7"
2.700,1.541,2.700,1.696,2.700,1.844,2.700,1.985,2.700,2.123,2.700,2.594,2.700,2.880
2.750,1.541,2.750,1.696,2.750,1.844,2.750,1.985,2.750,2.123,2.750,2.594,2.750,2.880
2.800,1.541,2.800,1.695,2.800,1.844,2.800,1.985,2.800,2.124,2.800,2.594,2.800,2.881
2.850,1.541,2.850,1.695,2.850,1.844,2.850,1.985,2.850,2.123,2.850,2.594,2.850,2.880
2.900,1.541,2.900,1.695,2.900,1.844,2.900,1.985,2.900,2.123,2.900,2.594,2.900,2.880
2.950,1.541,2.950,1.695,2.950,1.844,2.950,1.984,2.950,2.123,2.950,2.594,2.950,2.881
3.000,1.541,3.000,1.696,3.000,1.843,3.000,1.985,3.000,2.124,3.000,2.594,3.000,2.881
3.050,1.541,3.050,1.696,3.050,1.844,3.050,1.985,3.050,2.124,3.050,2.594,3.050,2.881
3.100,1.542,3.100,1.696,3.100,1.844,3.100,1.985,3.100,2.123,3.100,2.594,3.100,2.879
3.150,1.541,3.150,1.696,3.150,1.844,3.150,1.985,3.150,2.123,3.150,2.593,3.150,2.878
3.200,1.542,3.200,1.695,3.200,1.844,3.200,1.985,3.200,2.123,3.200,2.594,3.200,2.878
3.250,1.541,3.250,1.696,3.250,1.844,3.250,1.985,3.250,2.123,3.250,2.593,3.250,2.878
3.300,1.541,3.300,1.696,3.300,1.844,3.300,1.985,3.300,2.124,3.300,2.593,3.300,2.878
3.350,1.541,3.350,1.695,3.350,1.844,3.350,1.984,3.350,2.124,3.350,2.593,3.350,2.878
3.400,1.541,3.400,1.695,3.400,1.844,3.400,1.984,3.400,2.123,3.400,2.593,3.400,2.878
3.450,1.542,3.450,1.695,3.450,1.844,3.450,1.984,3.450,2.123,3.450,2.593,3.450,2.878
3.500,1.542,,,3.500,1.843,3.500,1.984,3.500,2.123,3.500,2.593,3.500,2.878
3.550,1.541,,,3.550,1.844,3.550,1.985,3.550,2.124,3.550,2.593,3.550,2.878
3.600,1.541,,,3.600,1.844,3.600,1.985,3.600,2.123,3.600,2.593,3.600,2.880
3.650,1.541,,,3.650,1.843,3.650,1.984,3.650,2.124,3.650,2.593,3.650,2.880
3.700,1.542,,,,,,,3.700,2.124,3.700,2.593,3.700,2.879
3.750,1.541,,,,,,,3.750,2.123,3.750,2.593,3.750,2.879
3.800,1.542,,,,,,,3.800,2.123,3.800,2.594,3.800,2.879
3.850,1.541,,,,,,,3.850,2.123,3.850,2.594,3.850,2.879
3.900,1.542,,,,,,,3.900,2.124,3.900,2.594,3.900,2.878
3.950,1.541,,,,,,,3.950,2.124,3.950,2.594,3.950,2.879
4.000,1.541,,,,,,,4.000,2.123,4.000,2.594,4.000,2.879
4.050,1.541,,,,,,,4.050,2.123,4.050,2.593,4.050,2.879
4.100,1.541,,,,,,,4.100,2.123,4.100,2.593,4.100,2.878
4.150,1.541,,,,,,,4.150,2.123,4.150,2.593,4.150,2.879
4.200,1.541,,,,,,,4.200,2.123,4.200,2.593,4.200,2.879
4.250,1.541,,,,,,,4.250,2.123,4.250,2.593,4.250,2.879
4.300,1.541,,,,,,,4.300,2.123,4.300,2.594,,
4.350,1.541,,,,,,,4.350,2.123,4.350,2.593,,
,,,,,,,,4.400,2.123,4.400,2.593,,
,,,,,,,,4.450,2.123,4.450,2.593,,
,,,,,,,,4.500,2.123,4.500,2.592,,
,,,,,,,,4.550,2.123,4.550,2.593,,
,,,,,,,,4.600,2.124,4.600,2.593,,
,,,,,,,,4.650,2.123,4.650,2.592,,
,,,,,,,,4.700,2.123,,,,
,,,,,,,,4.750,2.123,,,,
,,,,,,,,4.800,2.123,,,,
,,,,,,,,4.850,2.123,,,,
,,,,,,,,4.900,2.123,,,,
,,,,,,,,4.950,2.123,,,,
,,,,,,,,5.000,2.123,,,,
,,,,,,,,5.050,2.123,,,,
,,,,,,,,5.100,2.123,,,,
,,,,,,,,5.150,2.123,,,,
,,,,,,,,5.200,2.123,,,,
,,,,,,,,5.250,2.123,,,,
,,,,,,,,5.300,2.123,,,,
,,,,,,,,5.350,2.123,,,,
,,,,,,,,5.400,2.124,,,,
,,,,,,,,5.450,2.123,,,,
,,,,,,,,5.500,2.123,,,,
,,,,,,,,5.550,2.123,,,,
,,,,,,,,5.600,2.123,,,,
,,,,,,,,5.650,2.123,,,,
