"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.02454,0.02454,-0.681
0.02437,0.02437,-0.682
0.02437,0.02437,-0.681
0.02432,0.02432,-0.681
0.02435,0.02435,-0.681
0.02428,0.02428,-0.681
0.02438,0.02438,-0.681
0.02409,0.02409,-0.681
0.02402,0.02402,-0.681
0.02435,0.02435,-0.681
0.02422,0.02422,-0.681
0.02452,0.02452,-0.681
0.02451,0.02451,-0.681
0.02446,0.02446,-0.681
0.02441,0.02441,-0.681
0.02415,0.02415,-0.681
0.02431,0.02431,-0.681
0.02437,0.02437,-0.681
0.02464,0.02464,-0.681
0.02441,0.02441,-0.681
0.02435,0.02435,-0.681
0.02420,0.02420,-0.681
0.02460,0.02460,-0.681
0.02452,0.02452,-0.681
0.02408,0.02408,-0.681
0.02432,0.02432,-0.681
0.02448,0.02448,-0.681
0.02434,0.02434,-0.681
0.02438,0.02438,-0.681
0.02422,0.02422,-0.681
0.02426,0.02426,-0.680
0.02463,0.02463,-0.681
0.02440,0.02440,-0.681
0.02422,0.02422,-0.681
0.02429,0.02429,-0.681
0.02443,0.02443,-0.681
0.02437,0.02437,-0.681
0.02452,0.02452,-0.681
0.02435,0.02435,-0.681
0.02422,0.02422,-0.683
0.02420,0.02420,-0.682
0.02449,0.02449,-0.682
0.02411,0.02411,-0.681
0.02451,0.02451,-0.681
0.02426,0.02426,-0.681
0.02435,0.02435,-0.681
0.02417,0.02417,-0.681
0.02405,0.02405,-0.681
0.02426,0.02426,-0.681
0.02422,0.02422,-0.681
0.02417,0.02417,-0.681
0.02444,0.02444,-0.681
0.02428,0.02428,-0.681
0.02438,0.02438,-0.682
0.02422,0.02422,-0.682
0.02437,0.02437,-0.681
0.02423,0.02423,-0.681
0.02435,0.02435,-0.681
0.02425,0.02425,-0.684
0.02441,0.02441,-0.686
0.02417,0.02417,-0.687
0.02458,0.02458,-0.687
0.02448,0.02448,-0.687
0.02420,0.02420,-0.688
0.02452,0.02452,-0.690
0.02437,0.02437,-0.691
0.02443,0.02443,-0.691
0.02437,0.02437,-0.691
0.02444,0.02444,-0.692
0.02461,0.02461,-0.695
0.02489,0.02489,-0.695
0.02478,0.02478,-0.696
0.02478,0.02478,-0.695
0.02473,0.02473,-0.696
0.02490,0.02490,-0.699
0.02530,0.02530,-0.699
0.02502,0.02502,-0.699
0.02551,0.02551,-0.700
0.02548,0.02548,-0.704
0.02583,0.02583,-0.704
0.02588,0.02588,-0.705
0.02603,0.02603,-0.709
0.02580,0.02580,-0.709
0.02567,0.02567,-0.709
0.02560,0.02560,-0.713
0.02617,0.02617,-0.714
0.02579,0.02579,-0.714
0.02600,0.02600,-0.715
0.02594,0.02594,-0.717
0.02583,0.02583,-0.718
0.02618,0.02618,-0.718
0.02592,0.02592,-0.719
0.02567,0.02567,-0.719
0.02599,0.02599,-0.719
0.02606,0.02606,-0.718
0.02631,0.02631,-0.718
0.02631,0.02631,-0.719
0.02599,0.02599,-0.718
0.02664,0.02664,-0.718
0.02632,0.02632,-0.719
0.02650,0.02650,-0.721
0.02660,0.02660,-0.721
0.02652,0.02652,-0.722
0.02658,0.02658,-0.725
0.02675,0.02675,-0.726
0.02678,0.02678,-0.726
0.02684,0.02684,-0.727
0.02658,0.02658,-0.731
0.02686,0.02686,-0.730
0.02673,0.02673,-0.730
0.02670,0.02670,-0.731
0.02681,0.02681,-0.734
0.02696,0.02696,-0.734
0.02692,0.02692,-0.734
0.02690,0.02690,-0.737
0.02667,0.02667,-0.739
0.02704,0.02704,-0.739
0.02690,0.02690,-0.741
0.02699,0.02699,-0.744
0.02710,0.02710,-0.745
0.02708,0.02708,-0.744
0.02722,0.02722,-0.743
0.02686,0.02686,-0.747
0.02696,0.02696,-0.748
0.02701,0.02701,-0.748
0.02708,0.02708,-0.749
0.02704,0.02704,-0.750
0.02719,0.02719,-0.753
0.02724,0.02724,-0.753
0.02730,0.02730,-0.754
0.02725,0.02725,-0.756
0.02731,0.02731,-0.757
0.02733,0.02733,-0.757
0.02753,0.02753,-0.757
0.02722,0.02722,-0.757
0.02736,0.02736,-0.760
0.02744,0.02744,-0.761
0.02754,0.02754,-0.761
0.02747,0.02747,-0.764
0.02759,0.02759,-0.766
0.02756,0.02756,-0.767
0.02750,0.02750,-0.771
0.02733,0.02733,-0.771
0.02753,0.02753,-0.770
0.02747,0.02747,-0.770
0.02754,0.02754,-0.775
0.02736,0.02736,-0.776
0.02718,0.02718,-0.776
0.02753,0.02753,-0.776
0.02744,0.02744,-0.776
0.02730,0.02730,-0.776
0.02719,0.02719,-0.779
0.02736,0.02736,-0.780
0.02708,0.02708,-0.780
0.02744,0.02744,-0.780
0.02702,0.02702,-0.781
0.02724,0.02724,-0.784
0.02679,0.02679,-0.784
0.02693,0.02693,-0.784
0.02667,0.02667,-0.784
0.02675,0.02675,-0.787
0.02667,0.02667,-0.787
0.02650,0.02650,-0.787
0.02635,0.02635,-0.787
0.02640,0.02640,-0.789
0.02649,0.02649,-0.792
0.02623,0.02623,-0.792
0.02632,0.02632,-0.792
0.02621,0.02621,-0.793
0.02635,0.02635,-0.799
0.02631,0.02631,-0.799
0.02626,0.02626,-0.799
0.02589,0.02589,-0.798
0.02605,0.02605,-0.798
0.02603,0.02603,-0.798
0.02567,0.02567,-0.798
0.02599,0.02599,-0.798
0.02550,0.02550,-0.801
0.02563,0.02563,-0.804
0.02531,0.02531,-0.804
0.02525,0.02525,-0.804
0.02515,0.02515,-0.807
0.02513,0.02513,-0.810
0.02477,0.02477,-0.809
0.02486,0.02486,-0.812
0.02498,0.02498,-0.815
0.02477,0.02477,-0.815
0.02455,0.02455,-0.816
0.02458,0.02458,-0.818
0.02435,0.02435,-0.818
0.02467,0.02467,-0.820
0.02467,0.02467,-0.823
0.02461,0.02461,-0.823
0.02448,0.02448,-0.823
0.02460,0.02460,-0.828
0.02415,0.02415,-0.828
0.02470,0.02470,-0.828
0.02415,0.02415,-0.828
0.02435,0.02435,-0.828
