"Light Intensity (% of scale max) Run #10","Relative Intensity Run #10","Voltage (V) Run #10"
0.02409,0.02409,0.865
0.02434,0.02434,0.865
0.02411,0.02411,0.865
0.02388,0.02388,0.865
0.02419,0.02419,0.865
0.02397,0.02397,0.865
0.02394,0.02394,0.866
0.02414,0.02414,0.865
0.02391,0.02391,0.865
0.02390,0.02390,0.865
0.02412,0.02412,0.865
0.02438,0.02438,0.865
0.02388,0.02388,0.866
0.02405,0.02405,0.866
0.02394,0.02394,0.865
0.02409,0.02409,0.865
0.02396,0.02396,0.865
0.02415,0.02415,0.865
0.02409,0.02409,0.865
0.02400,0.02400,0.866
0.02393,0.02393,0.866
0.02380,0.02380,0.865
0.02403,0.02403,0.865
0.02377,0.02377,0.865
0.02406,0.02406,0.865
0.02423,0.02423,0.865
0.02412,0.02412,0.865
0.02386,0.02386,0.865
0.02406,0.02406,0.865
0.02382,0.02382,0.865
0.02386,0.02386,0.865
0.02385,0.02385,0.865
0.02408,0.02408,0.865
0.02402,0.02402,0.866
0.02399,0.02399,0.865
0.02405,0.02405,0.866
0.02422,0.02422,0.865
0.02409,0.02409,0.865
0.02403,0.02403,0.865
0.02408,0.02408,0.865
0.02428,0.02428,0.864
0.02420,0.02420,0.865
0.02419,0.02419,0.865
0.02393,0.02393,0.864
0.02414,0.02414,0.864
0.02370,0.02370,0.860
0.02408,0.02408,0.860
0.02412,0.02412,0.860
0.02408,0.02408,0.860
0.02402,0.02402,0.860
0.02428,0.02428,0.859
0.02405,0.02405,0.858
0.02400,0.02400,0.856
0.02417,0.02417,0.857
0.02406,0.02406,0.857
0.02417,0.02417,0.857
0.02408,0.02408,0.857
0.02409,0.02409,0.857
0.02393,0.02393,0.857
0.02397,0.02397,0.855
0.02412,0.02412,0.853
0.02422,0.02422,0.853
0.02386,0.02386,0.850
0.02386,0.02386,0.849
0.02411,0.02411,0.849
0.02412,0.02412,0.849
0.02409,0.02409,0.845
0.02441,0.02441,0.843
0.02391,0.02391,0.844
0.02414,0.02414,0.843
0.02414,0.02414,0.838
0.02414,0.02414,0.838
0.02425,0.02425,0.837
0.02406,0.02406,0.838
0.02412,0.02412,0.838
0.02420,0.02420,0.837
0.02423,0.02423,0.836
0.02420,0.02420,0.833
0.02412,0.02412,0.833
0.02417,0.02417,0.833
0.02400,0.02400,0.833
0.02402,0.02402,0.833
0.02419,0.02419,0.834
0.02412,0.02412,0.833
0.02417,0.02417,0.830
0.02438,0.02438,0.829
0.02463,0.02463,0.830
0.02429,0.02429,0.829
0.02438,0.02438,0.829
0.02443,0.02443,0.830
0.02446,0.02446,0.829
0.02429,0.02429,0.827
0.02451,0.02451,0.824
0.02431,0.02431,0.825
0.02429,0.02429,0.824
0.02440,0.02440,0.822
0.02437,0.02437,0.820
0.02423,0.02423,0.821
0.02454,0.02454,0.821
0.02444,0.02444,0.819
0.02428,0.02428,0.816
0.02428,0.02428,0.816
0.02431,0.02431,0.816
0.02408,0.02408,0.816
0.02441,0.02441,0.816
0.02403,0.02403,0.815
0.02422,0.02422,0.812
0.02422,0.02422,0.812
0.02402,0.02402,0.813
0.02399,0.02399,0.812
0.02422,0.02422,0.812
0.02409,0.02409,0.810
0.02385,0.02385,0.807
0.02412,0.02412,0.807
0.02417,0.02417,0.807
0.02388,0.02388,0.807
0.02371,0.02371,0.806
0.02373,0.02373,0.802
0.02379,0.02379,0.802
0.02412,0.02412,0.802
0.02428,0.02428,0.802
0.02422,0.02422,0.797
0.02383,0.02383,0.798
0.02400,0.02400,0.797
0.02397,0.02397,0.794
0.02406,0.02406,0.794
0.02406,0.02406,0.793
0.02397,0.02397,0.794
0.02391,0.02391,0.791
0.02429,0.02429,0.790
0.02420,0.02420,0.789
0.02422,0.02422,0.789
0.02411,0.02411,0.789
0.02380,0.02380,0.789
0.02383,0.02383,0.789
0.02426,0.02426,0.789
0.02415,0.02415,0.790
0.02409,0.02409,0.790
0.02412,0.02412,0.787
0.02403,0.02403,0.785
0.02411,0.02411,0.786
0.02403,0.02403,0.786
0.02426,0.02426,0.785
0.02423,0.02423,0.784
0.02429,0.02429,0.781
0.02415,0.02415,0.781
0.02448,0.02448,0.780
0.02452,0.02452,0.777
0.02461,0.02461,0.776
0.02438,0.02438,0.776
0.02484,0.02484,0.776
0.02432,0.02432,0.771
0.02463,0.02463,0.770
0.02429,0.02429,0.771
0.02435,0.02435,0.768
0.02437,0.02437,0.766
0.02432,0.02432,0.766
0.02443,0.02443,0.764
0.02432,0.02432,0.764
0.02411,0.02411,0.763
0.02402,0.02402,0.760
0.02412,0.02412,0.760
0.02420,0.02420,0.759
0.02393,0.02393,0.756
0.02412,0.02412,0.754
0.02417,0.02417,0.753
0.02403,0.02403,0.749
0.02393,0.02393,0.748
0.02409,0.02409,0.746
0.02391,0.02391,0.742
0.02417,0.02417,0.743
0.02414,0.02414,0.744
0.02420,0.02420,0.746
0.02397,0.02397,0.744
0.02432,0.02432,0.742
0.02425,0.02425,0.742
0.02426,0.02426,0.741
0.02428,0.02428,0.738
0.02400,0.02400,0.739
0.02409,0.02409,0.735
0.02402,0.02402,0.735
0.02406,0.02406,0.734
0.02409,0.02409,0.734
0.02408,0.02408,0.732
0.02425,0.02425,0.731
0.02419,0.02419,0.730
0.02386,0.02386,0.731
0.02390,0.02390,0.730
0.02377,0.02377,0.731
0.02393,0.02393,0.731
0.02429,0.02429,0.728
0.02409,0.02409,0.726
0.02406,0.02406,0.726
0.02400,0.02400,0.726
0.02417,0.02417,0.726
0.02385,0.02385,0.726
0.02406,0.02406,0.726
0.02414,0.02414,0.726
0.02417,0.02417,0.726
0.02400,0.02400,0.724
0.02396,0.02396,0.721
0.02417,0.02417,0.721
0.02415,0.02415,0.722
0.02396,0.02396,0.720
0.02393,0.02393,0.718
0.02417,0.02417,0.717
0.02399,0.02399,0.717
0.02422,0.02422,0.717
0.02391,0.02391,0.717
0.02406,0.02406,0.714
0.02403,0.02403,0.713
0.02423,0.02423,0.712
0.02411,0.02411,0.713
0.02420,0.02420,0.711
0.02415,0.02415,0.706
0.02382,0.02382,0.707
0.02396,0.02396,0.707
0.02400,0.02400,0.706
0.02414,0.02414,0.702
0.02411,0.02411,0.703
0.02393,0.02393,0.703
0.02400,0.02400,0.703
0.02408,0.02408,0.702
0.02406,0.02406,0.699
0.02422,0.02422,0.699
0.02400,0.02400,0.699
0.02385,0.02385,0.698
0.02397,0.02397,0.699
0.02412,0.02412,0.698
0.02419,0.02419,0.695
0.02393,0.02393,0.695
0.02425,0.02425,0.695
0.02405,0.02405,0.692
0.02426,0.02426,0.691
0.02423,0.02423,0.690
0.02422,0.02422,0.690
0.02406,0.02406,0.690
0.02432,0.02432,0.686
0.02434,0.02434,0.685
0.02411,0.02411,0.685
0.02415,0.02415,0.685
0.02408,0.02408,0.681
0.02383,0.02383,0.680
0.02414,0.02414,0.680
0.02425,0.02425,0.680
