"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.02449,0.02449,-0.479
0.02487,0.02487,-0.479
0.02545,0.02545,-0.480
0.02583,0.02583,-0.480
0.02547,0.02547,-0.481
0.02654,0.02654,-0.484
0.02672,0.02672,-0.484
0.02701,0.02701,-0.484
0.02760,0.02760,-0.484
0.02869,0.02869,-0.484
0.02968,0.02968,-0.484
0.03087,0.03087,-0.488
0.03226,0.03226,-0.489
0.03474,0.03474,-0.488
0.03519,0.03519,-0.488
0.03583,0.03583,-0.489
0.03590,0.03590,-0.489
0.03629,0.03629,-0.488
0.03662,0.03662,-0.490
0.03581,0.03581,-0.493
0.03477,0.03477,-0.493
0.03381,0.03381,-0.493
0.03239,0.03239,-0.493
0.03175,0.03175,-0.496
0.03036,0.03036,-0.497
0.02956,0.02956,-0.496
0.02812,0.02812,-0.496
0.02789,0.02789,-0.499
0.02666,0.02666,-0.503
0.02541,0.02541,-0.503
0.02422,0.02422,-0.504
0.02527,0.02527,-0.503
0.02716,0.02716,-0.504
0.02692,0.02692,-0.507
0.02768,0.02768,-0.509
0.02829,0.02829,-0.508
0.02927,0.02927,-0.510
0.03078,0.03078,-0.513
0.03201,0.03201,-0.513
0.03474,0.03474,-0.513
0.03674,0.03674,-0.514
0.03798,0.03798,-0.516
0.03944,0.03944,-0.517
0.04062,0.04062,-0.517
0.04178,0.04178,-0.517
0.04198,0.04198,-0.517
0.04166,0.04166,-0.519
0.04088,0.04088,-0.521
0.03944,0.03944,-0.520
0.03825,0.03825,-0.520
0.03625,0.03625,-0.521
0.03024,0.03024,-0.523
0.02769,0.02769,-0.526
0.02666,0.02666,-0.526
0.02574,0.02574,-0.525
0.02559,0.02559,-0.525
0.02539,0.02539,-0.530
0.02473,0.02473,-0.531
0.02434,0.02434,-0.532
0.02463,0.02463,-0.535
0.02499,0.02499,-0.535
0.02629,0.02629,-0.535
0.02666,0.02666,-0.535
0.02725,0.02725,-0.535
0.02867,0.02867,-0.538
0.02951,0.02951,-0.538
0.02969,0.02969,-0.538
0.03032,0.03032,-0.539
0.03139,0.03139,-0.542
0.03206,0.03206,-0.543
0.03221,0.03221,-0.542
0.03239,0.03239,-0.542
0.03145,0.03145,-0.544
0.03116,0.03116,-0.547
0.03021,0.03021,-0.547
0.02957,0.02957,-0.547
0.02907,0.02907,-0.548
0.02762,0.02762,-0.551
0.02649,0.02649,-0.551
0.02586,0.02586,-0.551
0.02534,0.02534,-0.553
0.02467,0.02467,-0.556
0.02470,0.02470,-0.556
0.02441,0.02441,-0.555
0.02440,0.02440,-0.557
0.02449,0.02449,-0.560
0.02473,0.02473,-0.560
0.02504,0.02504,-0.560
0.02507,0.02507,-0.560
0.02547,0.02547,-0.561
0.02548,0.02548,-0.565
0.02614,0.02614,-0.566
0.02637,0.02637,-0.566
0.02716,0.02716,-0.566
0.02686,0.02686,-0.567
0.02716,0.02716,-0.568
0.02744,0.02744,-0.570
