"Light Intensity (% of scale max) Run #9","Relative Intensity Run #9","Voltage (V) Run #9"
0.02434,0.02434,-3.294
0.02399,0.02399,-3.294
0.02420,0.02420,-3.295
0.02417,0.02417,-3.295
0.02423,0.02423,-3.295
0.02400,0.02400,-3.296
0.02443,0.02443,-3.296
0.02399,0.02399,-3.296
0.02425,0.02425,-3.296
0.02431,0.02431,-3.296
0.02431,0.02431,-3.296
0.02429,0.02429,-3.296
0.02414,0.02414,-3.296
0.02403,0.02403,-3.296
0.02443,0.02443,-3.294
0.02412,0.02412,-3.295
0.02406,0.02406,-3.294
0.02435,0.02435,-3.290
0.02409,0.02409,-3.290
0.02417,0.02417,-3.290
0.02431,0.02431,-3.289
0.02409,0.02409,-3.286
0.02426,0.02426,-3.285
0.02423,0.02423,-3.286
0.02429,0.02429,-3.283
0.02406,0.02406,-3.281
0.02414,0.02414,-3.281
0.02423,0.02423,-3.281
0.02425,0.02425,-3.281
0.02428,0.02428,-3.278
0.02379,0.02379,-3.276
0.02400,0.02400,-3.276
0.02408,0.02408,-3.276
0.02422,0.02422,-3.277
0.02419,0.02419,-3.277
0.02411,0.02411,-3.274
0.02449,0.02449,-3.273
0.02420,0.02420,-3.273
0.02412,0.02412,-3.272
0.02423,0.02423,-3.269
0.02428,0.02428,-3.267
0.02408,0.02408,-3.267
0.02420,0.02420,-3.266
0.02417,0.02417,-3.263
0.02414,0.02414,-3.261
0.02451,0.02451,-3.261
0.02440,0.02440,-3.261
0.02420,0.02420,-3.260
0.02422,0.02422,-3.257
0.02437,0.02437,-3.258
0.02435,0.02435,-3.258
0.02406,0.02406,-3.257
0.02425,0.02425,-3.254
0.02419,0.02419,-3.254
0.02403,0.02403,-3.254
0.02408,0.02408,-3.254
0.02415,0.02415,-3.254
0.02423,0.02423,-3.255
0.02386,0.02386,-3.253
0.02388,0.02388,-3.250
0.02420,0.02420,-3.249
0.02405,0.02405,-3.246
0.02435,0.02435,-3.244
0.02419,0.02419,-3.244
0.02411,0.02411,-3.241
0.02423,0.02423,-3.239
0.02443,0.02443,-3.239
0.02417,0.02417,-3.239
0.02415,0.02415,-3.236
0.02396,0.02396,-3.235
0.02428,0.02428,-3.235
0.02419,0.02419,-3.236
0.02435,0.02435,-3.235
0.02415,0.02415,-3.231
0.02420,0.02420,-3.231
0.02399,0.02399,-3.231
0.02412,0.02412,-3.231
0.02414,0.02414,-3.229
0.02426,0.02426,-3.226
0.02419,0.02419,-3.227
0.02423,0.02423,-3.226
0.02412,0.02412,-3.226
0.02432,0.02432,-3.226
0.02393,0.02393,-3.222
0.02437,0.02437,-3.222
0.02431,0.02431,-3.222
0.02417,0.02417,-3.218
0.02417,0.02417,-3.217
0.02426,0.02426,-3.217
0.02408,0.02408,-3.215
0.02403,0.02403,-3.212
0.02393,0.02393,-3.212
0.02415,0.02415,-3.212
0.02385,0.02385,-3.212
0.02446,0.02446,-3.209
0.02437,0.02437,-3.207
0.02422,0.02422,-3.207
0.02400,0.02400,-3.207
0.02393,0.02393,-3.206
0.02408,0.02408,-3.203
0.02441,0.02441,-3.202
0.02422,0.02422,-3.202
0.02411,0.02411,-3.201
0.02420,0.02420,-3.198
0.02411,0.02411,-3.197
0.02414,0.02414,-3.197
0.02412,0.02412,-3.193
0.02419,0.02419,-3.192
0.02399,0.02399,-3.191
0.02385,0.02385,-3.187
0.02391,0.02391,-3.188
0.02422,0.02422,-3.187
0.02419,0.02419,-3.183
0.02425,0.02425,-3.184
0.02425,0.02425,-3.184
0.02405,0.02405,-3.183
0.02431,0.02431,-3.179
0.02434,0.02434,-3.180
0.02391,0.02391,-3.180
0.02408,0.02408,-3.179
0.02419,0.02419,-3.176
0.02406,0.02406,-3.176
0.02411,0.02411,-3.176
0.02393,0.02393,-3.176
0.02437,0.02437,-3.172
0.02414,0.02414,-3.171
0.02411,0.02411,-3.171
0.02400,0.02400,-3.170
0.02425,0.02425,-3.167
0.02428,0.02428,-3.166
0.02390,0.02390,-3.166
0.02417,0.02417,-3.166
0.02385,0.02385,-3.165
0.02414,0.02414,-3.162
0.02409,0.02409,-3.162
0.02408,0.02408,-3.163
0.02403,0.02403,-3.162
0.02382,0.02382,-3.162
0.02405,0.02405,-3.163
0.02420,0.02420,-3.162
0.02420,0.02420,-3.158
0.02425,0.02425,-3.158
0.02406,0.02406,-3.157
0.02396,0.02396,-3.155
0.02420,0.02420,-3.153
0.02423,0.02423,-3.153
0.02419,0.02419,-3.153
0.02429,0.02429,-3.149
0.02408,0.02408,-3.148
0.02425,0.02425,-3.148
0.02411,0.02411,-3.148
0.02417,0.02417,-3.148
0.02432,0.02432,-3.145
0.02403,0.02403,-3.144
0.02411,0.02411,-3.141
0.02419,0.02419,-3.140
0.02417,0.02417,-3.140
0.02434,0.02434,-3.136
0.02390,0.02390,-3.136
0.02425,0.02425,-3.134
0.02408,0.02408,-3.132
0.02425,0.02425,-3.131
0.02409,0.02409,-3.130
0.02412,0.02412,-3.127
0.02403,0.02403,-3.127
0.02417,0.02417,-3.126
0.02420,0.02420,-3.123
0.02437,0.02437,-3.123
0.02432,0.02432,-3.123
0.02422,0.02422,-3.123
0.02431,0.02431,-3.121
0.02429,0.02429,-3.119
0.02420,0.02420,-3.119
0.02449,0.02449,-3.118
0.02428,0.02428,-3.118
0.02438,0.02438,-3.114
0.02448,0.02448,-3.114
0.02425,0.02425,-3.113
0.02414,0.02414,-3.109
0.02432,0.02432,-3.108
0.02432,0.02432,-3.107
0.02426,0.02426,-3.104
0.02412,0.02412,-3.104
0.02443,0.02443,-3.103
0.02415,0.02415,-3.099
0.02457,0.02457,-3.099
0.02419,0.02419,-3.099
0.02423,0.02423,-3.096
0.02397,0.02397,-3.095
0.02437,0.02437,-3.095
0.02431,0.02431,-3.095
0.02429,0.02429,-3.093
0.02391,0.02391,-3.091
0.02419,0.02419,-3.091
0.02417,0.02417,-3.090
0.02399,0.02399,-3.087
0.02422,0.02422,-3.086
0.02429,0.02429,-3.087
0.02396,0.02396,-3.087
0.02419,0.02419,-3.085
0.02432,0.02432,-3.082
0.02443,0.02443,-3.081
0.02411,0.02411,-3.081
0.02414,0.02414,-3.081
0.02429,0.02429,-3.080
0.02419,0.02419,-3.077
0.02429,0.02429,-3.078
0.02409,0.02409,-3.078
0.02414,0.02414,-3.077
0.02411,0.02411,-3.074
0.02423,0.02423,-3.074
0.02399,0.02399,-3.074
0.02434,0.02434,-3.073
0.02434,0.02434,-3.072
0.02419,0.02419,-3.072
0.02406,0.02406,-3.071
0.02419,0.02419,-3.071
0.02420,0.02420,-3.070
0.02425,0.02425,-3.068
0.02417,0.02417,-3.068
0.02426,0.02426,-3.068
0.02397,0.02397,-3.067
0.02399,0.02399,-3.065
0.02411,0.02411,-3.064
0.02425,0.02425,-3.063
0.02425,0.02425,-3.060
0.02423,0.02423,-3.059
0.02435,0.02435,-3.059
0.02405,0.02405,-3.057
0.02422,0.02422,-3.055
0.02428,0.02428,-3.055
0.02435,0.02435,-3.053
0.02415,0.02415,-3.052
0.02423,0.02423,-3.051
0.02451,0.02451,-3.051
0.02422,0.02422,-3.048
0.02415,0.02415,-3.045
0.02419,0.02419,-3.045
0.02434,0.02434,-3.044
0.02431,0.02431,-3.042
0.02399,0.02399,-3.042
0.02435,0.02435,-3.039
0.02422,0.02422,-3.037
0.02417,0.02417,-3.036
0.02452,0.02452,-3.034
0.02435,0.02435,-3.032
0.02419,0.02419,-3.032
0.02423,0.02423,-3.030
0.02434,0.02434,-3.027
0.02426,0.02426,-3.027
0.02438,0.02438,-3.025
0.02437,0.02437,-3.023
0.02420,0.02420,-3.024
0.02419,0.02419,-3.023
0.02431,0.02431,-3.020
0.02425,0.02425,-3.018
0.02420,0.02420,-3.018
0.02429,0.02429,-3.015
0.02434,0.02434,-3.014
0.02417,0.02417,-3.014
0.02431,0.02431,-3.013
0.02428,0.02428,-3.012
0.02420,0.02420,-3.011
0.02417,0.02417,-3.009
0.02426,0.02426,-3.009
0.02429,0.02429,-3.007
0.02402,0.02402,-3.005
0.02415,0.02415,-3.005
0.02422,0.02422,-3.002
0.02408,0.02408,-3.000
0.02422,0.02422,-3.000
0.02440,0.02440,-2.999
0.02428,0.02428,-2.997
0.02444,0.02444,-2.995
0.02441,0.02441,-2.995
0.02399,0.02399,-2.996
0.02420,0.02420,-2.996
0.02420,0.02420,-2.994
0.02431,0.02431,-2.993
0.02420,0.02420,-2.993
0.02420,0.02420,-2.993
0.02437,0.02437,-2.993
0.02432,0.02432,-2.993
0.02437,0.02437,-2.992
0.02419,0.02419,-2.991
0.02451,0.02451,-2.989
0.02428,0.02428,-2.988
0.02428,0.02428,-2.989
0.02437,0.02437,-2.988
0.02414,0.02414,-2.987
0.02437,0.02437,-2.984
0.02435,0.02435,-2.984
0.02425,0.02425,-2.984
0.02466,0.02466,-2.983
0.02443,0.02443,-2.981
0.02409,0.02409,-2.980
0.02435,0.02435,-2.980
0.02434,0.02434,-2.979
0.02432,0.02432,-2.979
0.02443,0.02443,-2.979
0.02441,0.02441,-2.978
0.02432,0.02432,-2.975
0.02425,0.02425,-2.975
0.02428,0.02428,-2.975
0.02443,0.02443,-2.975
0.02420,0.02420,-2.972
0.02457,0.02457,-2.970
0.02455,0.02455,-2.970
0.02455,0.02455,-2.970
0.02460,0.02460,-2.969
0.02461,0.02461,-2.968
0.02441,0.02441,-2.965
0.02429,0.02429,-2.965
0.02454,0.02454,-2.965
0.02435,0.02435,-2.965
0.02467,0.02467,-2.963
0.02434,0.02434,-2.961
0.02470,0.02470,-2.961
0.02438,0.02438,-2.962
0.02435,0.02435,-2.962
0.02432,0.02432,-2.960
0.02438,0.02438,-2.956
0.02448,0.02448,-2.957
0.02420,0.02420,-2.956
0.02422,0.02422,-2.956
0.02438,0.02438,-2.955
0.02426,0.02426,-2.952
0.02457,0.02457,-2.952
0.02425,0.02425,-2.951
0.02417,0.02417,-2.949
0.02412,0.02412,-2.948
0.02429,0.02429,-2.947
0.02443,0.02443,-2.948
0.02425,0.02425,-2.948
0.02431,0.02431,-2.948
0.02388,0.02388,-2.946
0.02449,0.02449,-2.945
0.02423,0.02423,-2.943
0.02429,0.02429,-2.943
0.02441,0.02441,-2.942
0.02420,0.02420,-2.943
0.02419,0.02419,-2.942
0.02403,0.02403,-2.940
0.02438,0.02438,-2.939
0.02428,0.02428,-2.939
0.02444,0.02444,-2.939
0.02409,0.02409,-2.939
0.02446,0.02446,-2.937
0.02438,0.02438,-2.935
0.02441,0.02441,-2.934
0.02440,0.02440,-2.935
0.02432,0.02432,-2.933
0.02399,0.02399,-2.931
0.02432,0.02432,-2.931
0.02412,0.02412,-2.931
0.02460,0.02460,-2.928
0.02434,0.02434,-2.927
0.02426,0.02426,-2.926
0.02431,0.02431,-2.923
0.02429,0.02429,-2.921
0.02444,0.02444,-2.922
0.02449,0.02449,-2.920
0.02452,0.02452,-2.919
0.02426,0.02426,-2.919
0.02460,0.02460,-2.919
0.02454,0.02454,-2.916
0.02422,0.02422,-2.914
0.02443,0.02443,-2.914
0.02426,0.02426,-2.912
0.02431,0.02431,-2.910
0.02428,0.02428,-2.910
0.02435,0.02435,-2.907
0.02426,0.02426,-2.906
0.02422,0.02422,-2.904
0.02432,0.02432,-2.902
0.02446,0.02446,-2.901
0.02431,0.02431,-2.902
0.02431,0.02431,-2.902
0.02403,0.02403,-2.901
0.02425,0.02425,-2.897
0.02434,0.02434,-2.896
0.02443,0.02443,-2.896
0.02435,0.02435,-2.896
0.02415,0.02415,-2.895
0.02444,0.02444,-2.894
0.02452,0.02452,-2.891
0.02415,0.02415,-2.891
0.02412,0.02412,-2.892
0.02429,0.02429,-2.891
0.02438,0.02438,-2.888
0.02434,0.02434,-2.887
0.02423,0.02423,-2.888
0.02428,0.02428,-2.885
0.02451,0.02451,-2.883
0.02435,0.02435,-2.882
0.02419,0.02419,-2.881
0.02438,0.02438,-2.881
0.02437,0.02437,-2.877
0.02423,0.02423,-2.877
0.02444,0.02444,-2.877
0.02437,0.02437,-2.874
0.02444,0.02444,-2.874
0.02417,0.02417,-2.874
0.02444,0.02444,-2.871
0.02444,0.02444,-2.870
0.02429,0.02429,-2.869
0.02425,0.02425,-2.869
0.02434,0.02434,-2.866
0.02423,0.02423,-2.865
0.02435,0.02435,-2.866
0.02451,0.02451,-2.865
0.02425,0.02425,-2.863
0.02406,0.02406,-2.861
0.02426,0.02426,-2.861
0.02449,0.02449,-2.860
0.02428,0.02428,-2.860
0.02423,0.02423,-2.859
0.02422,0.02422,-2.855
0.02399,0.02399,-2.856
0.02431,0.02431,-2.854
0.02415,0.02415,-2.852
0.02444,0.02444,-2.851
0.02422,0.02422,-2.849
0.02435,0.02435,-2.847
0.02419,0.02419,-2.847
0.02423,0.02423,-2.847
0.02428,0.02428,-2.846
0.02444,0.02444,-2.846
0.02437,0.02437,-2.846
0.02423,0.02423,-2.845
0.02448,0.02448,-2.843
0.02446,0.02446,-2.842
0.02451,0.02451,-2.842
0.02412,0.02412,-2.843
0.02443,0.02443,-2.842
0.02428,0.02428,-2.840
0.02408,0.02408,-2.839
0.02434,0.02434,-2.839
0.02415,0.02415,-2.838
0.02446,0.02446,-2.837
0.02415,0.02415,-2.834
0.02446,0.02446,-2.833
0.02403,0.02403,-2.834
0.02403,0.02403,-2.833
0.02437,0.02437,-2.830
0.02448,0.02448,-2.830
0.02425,0.02425,-2.830
0.02425,0.02425,-2.829
0.02475,0.02475,-2.825
0.02473,0.02473,-2.825
0.02458,0.02458,-2.825
0.02435,0.02435,-2.824
0.02484,0.02484,-2.821
0.02460,0.02460,-2.820
0.02455,0.02455,-2.820
0.02451,0.02451,-2.820
0.02478,0.02478,-2.817
0.02469,0.02469,-2.816
0.02466,0.02466,-2.817
0.02486,0.02486,-2.816
0.02477,0.02477,-2.816
0.02480,0.02480,-2.815
0.02458,0.02458,-2.812
0.02448,0.02448,-2.812
0.02440,0.02440,-2.812
0.02438,0.02438,-2.812
0.02422,0.02422,-2.812
0.02420,0.02420,-2.812
0.02428,0.02428,-2.809
0.02458,0.02458,-2.806
0.02448,0.02448,-2.807
0.02438,0.02438,-2.807
0.02432,0.02432,-2.806
0.02431,0.02431,-2.807
0.02438,0.02438,-2.807
0.02426,0.02426,-2.807
0.02426,0.02426,-2.807
0.02444,0.02444,-2.805
0.02411,0.02411,-2.804
0.02422,0.02422,-2.802
0.02419,0.02419,-2.802
0.02417,0.02417,-2.801
0.02435,0.02435,-2.802
0.02422,0.02422,-2.799
0.02426,0.02426,-2.797
0.02417,0.02417,-2.797
0.02412,0.02412,-2.797
0.02420,0.02420,-2.797
0.02405,0.02405,-2.795
0.02425,0.02425,-2.793
0.02414,0.02414,-2.793
0.02428,0.02428,-2.793
0.02403,0.02403,-2.792
0.02422,0.02422,-2.788
0.02399,0.02399,-2.788
0.02409,0.02409,-2.788
0.02432,0.02432,-2.787
0.02451,0.02451,-2.787
0.02425,0.02425,-2.783
0.02451,0.02451,-2.783
0.02437,0.02437,-2.781
0.02473,0.02473,-2.779
0.02457,0.02457,-2.778
0.02457,0.02457,-2.775
0.02481,0.02481,-2.775
0.02464,0.02464,-2.774
0.02492,0.02492,-2.773
0.02493,0.02493,-2.770
0.02461,0.02461,-2.770
0.02475,0.02475,-2.770
0.02454,0.02454,-2.766
0.02487,0.02487,-2.766
0.02473,0.02473,-2.766
0.02463,0.02463,-2.764
0.02455,0.02455,-2.761
0.02448,0.02448,-2.761
0.02464,0.02464,-2.761
0.02451,0.02451,-2.762
0.02464,0.02464,-2.760
0.02469,0.02469,-2.757
0.02428,0.02428,-2.756
0.02444,0.02444,-2.754
0.02467,0.02467,-2.756
0.02449,0.02449,-2.756
0.02440,0.02440,-2.756
0.02435,0.02435,-2.754
0.02463,0.02463,-2.753
0.02431,0.02431,-2.752
0.02441,0.02441,-2.752
0.02449,0.02449,-2.752
0.02419,0.02419,-2.752
0.02454,0.02454,-2.751
0.02441,0.02441,-2.750
0.02417,0.02417,-2.748
0.02437,0.02437,-2.746
0.02426,0.02426,-2.746
0.02448,0.02448,-2.745
0.02428,0.02428,-2.746
0.02432,0.02432,-2.743
0.02422,0.02422,-2.741
0.02429,0.02429,-2.741
0.02440,0.02440,-2.741
0.02451,0.02451,-2.737
0.02443,0.02443,-2.735
0.02428,0.02428,-2.735
0.02454,0.02454,-2.734
0.02423,0.02423,-2.734
0.02417,0.02417,-2.734
0.02419,0.02419,-2.732
0.02429,0.02429,-2.730
0.02460,0.02460,-2.731
0.02444,0.02444,-2.731
0.02454,0.02454,-2.732
0.02446,0.02446,-2.732
0.02426,0.02426,-2.729
0.02454,0.02454,-2.728
0.02452,0.02452,-2.728
0.02461,0.02461,-2.727
0.02431,0.02431,-2.726
0.02443,0.02443,-2.724
0.02457,0.02457,-2.723
0.02455,0.02455,-2.723
0.02457,0.02457,-2.719
0.02438,0.02438,-2.718
0.02457,0.02457,-2.716
0.02448,0.02448,-2.713
0.02458,0.02458,-2.713
0.02466,0.02466,-2.713
