"Light Intensity (% of scale max) Run #8","Relative Intensity Run #8","Voltage (V) Run #8"
0.02417,0.02417,1.240
0.02454,0.02454,1.240
0.02422,0.02422,1.237
0.02438,0.02438,1.234
0.02437,0.02437,1.235
0.02458,0.02458,1.231
0.02451,0.02451,1.230
0.02437,0.02437,1.230
0.02435,0.02435,1.229
0.02441,0.02441,1.226
0.02444,0.02444,1.225
0.02428,0.02428,1.225
0.02463,0.02463,1.225
0.02477,0.02477,1.225
0.02464,0.02464,1.224
0.02467,0.02467,1.224
0.02470,0.02470,1.222
0.02467,0.02467,1.221
0.02469,0.02469,1.221
0.02452,0.02452,1.221
0.02455,0.02455,1.221
0.02467,0.02467,1.221
0.02454,0.02454,1.219
0.02460,0.02460,1.217
0.02455,0.02455,1.217
0.02449,0.02449,1.217
0.02478,0.02478,1.217
0.02481,0.02481,1.217
0.02477,0.02477,1.215
0.02460,0.02460,1.213
0.02475,0.02475,1.213
0.02444,0.02444,1.213
0.02434,0.02434,1.209
0.02444,0.02444,1.208
0.02425,0.02425,1.208
0.02460,0.02460,1.206
0.02454,0.02454,1.203
0.02440,0.02440,1.204
0.02400,0.02400,1.203
0.02443,0.02443,1.199
0.02419,0.02419,1.198
0.02420,0.02420,1.198
0.02426,0.02426,1.198
0.02414,0.02414,1.197
0.02422,0.02422,1.193
0.02409,0.02409,1.193
0.02406,0.02406,1.192
0.02394,0.02394,1.189
0.02420,0.02420,1.188
0.02403,0.02403,1.187
0.02400,0.02400,1.185
0.02400,0.02400,1.184
0.02394,0.02394,1.183
0.02425,0.02425,1.180
0.02411,0.02411,1.180
0.02396,0.02396,1.178
0.02403,0.02403,1.176
0.02417,0.02417,1.176
0.02403,0.02403,1.176
0.02388,0.02388,1.176
0.02383,0.02383,1.176
0.02405,0.02405,1.175
0.02385,0.02385,1.172
0.02376,0.02376,1.173
0.02394,0.02394,1.172
0.02394,0.02394,1.172
0.02419,0.02419,1.172
0.02417,0.02417,1.172
0.02403,0.02403,1.168
0.02431,0.02431,1.168
0.02426,0.02426,1.167
0.02411,0.02411,1.167
0.02396,0.02396,1.163
0.02390,0.02390,1.162
0.02414,0.02414,1.163
0.02406,0.02406,1.163
0.02399,0.02399,1.163
0.02419,0.02419,1.160
0.02422,0.02422,1.158
0.02411,0.02411,1.159
0.02396,0.02396,1.158
0.02405,0.02405,1.158
0.02402,0.02402,1.158
0.02397,0.02397,1.156
0.02388,0.02388,1.155
0.02397,0.02397,1.155
0.02379,0.02379,1.155
0.02417,0.02417,1.155
0.02390,0.02390,1.151
0.02405,0.02405,1.150
0.02408,0.02408,1.151
0.02412,0.02412,1.150
0.02403,0.02403,1.150
0.02419,0.02419,1.150
0.02394,0.02394,1.150
0.02393,0.02393,1.150
0.02403,0.02403,1.147
0.02406,0.02406,1.145
0.02376,0.02376,1.145
