"Light Intensity (% of scale max) Run #2","Relative Intensity Run #2","Voltage (V) Run #2"
0.02542,0.02542,-1.867
0.02559,0.02559,-1.867
0.02521,0.02521,-1.867
0.02539,0.02539,-1.867
0.02531,0.02531,-1.867
0.02548,0.02548,-1.867
0.02536,0.02536,-1.867
0.02556,0.02556,-1.867
0.02519,0.02519,-1.867
0.02536,0.02536,-1.867
0.02550,0.02550,-1.867
0.02539,0.02539,-1.867
0.02574,0.02574,-1.867
0.02568,0.02568,-1.867
0.02563,0.02563,-1.867
0.02545,0.02545,-1.867
0.02568,0.02568,-1.868
0.02574,0.02574,-1.869
0.02560,0.02560,-1.868
0.02553,0.02553,-1.868
0.02577,0.02577,-1.868
0.02513,0.02513,-1.868
0.02563,0.02563,-1.868
0.02545,0.02545,-1.868
0.02545,0.02545,-1.868
0.02541,0.02541,-1.869
0.02586,0.02586,-1.869
0.02568,0.02568,-1.868
0.02547,0.02547,-1.868
0.02522,0.02522,-1.868
0.02554,0.02554,-1.868
0.02554,0.02554,-1.868
0.02538,0.02538,-1.868
0.02530,0.02530,-1.868
0.02541,0.02541,-1.868
0.02544,0.02544,-1.868
0.02565,0.02565,-1.868
0.02563,0.02563,-1.867
0.02567,0.02567,-1.868
0.02542,0.02542,-1.868
0.02550,0.02550,-1.868
0.02541,0.02541,-1.868
0.02551,0.02551,-1.868
0.02542,0.02542,-1.867
0.02528,0.02528,-1.867
0.02544,0.02544,-1.868
0.02570,0.02570,-1.868
0.02550,0.02550,-1.868
0.02539,0.02539,-1.868
0.02580,0.02580,-1.868
0.02557,0.02557,-1.868
0.02559,0.02559,-1.868
0.02521,0.02521,-1.868
0.02560,0.02560,-1.869
0.02544,0.02544,-1.868
0.02574,0.02574,-1.868
0.02530,0.02530,-1.868
0.02541,0.02541,-1.868
0.02547,0.02547,-1.867
0.02568,0.02568,-1.867
0.02547,0.02547,-1.867
0.02563,0.02563,-1.867
0.02573,0.02573,-1.867
0.02547,0.02547,-1.867
0.02560,0.02560,-1.868
0.02545,0.02545,-1.868
0.02571,0.02571,-1.868
0.02538,0.02538,-1.867
0.02573,0.02573,-1.867
0.02565,0.02565,-1.867
0.02553,0.02553,-1.867
0.02577,0.02577,-1.868
0.02542,0.02542,-1.868
0.02536,0.02536,-1.868
0.02551,0.02551,-1.868
0.02542,0.02542,-1.868
0.02571,0.02571,-1.867
0.02553,0.02553,-1.867
0.02551,0.02551,-1.867
0.02548,0.02548,-1.867
0.02556,0.02556,-1.867
0.02574,0.02574,-1.868
0.02571,0.02571,-1.867
0.02538,0.02538,-1.867
0.02539,0.02539,-1.867
0.02574,0.02574,-1.867
0.02538,0.02538,-1.867
0.02550,0.02550,-1.867
0.02528,0.02528,-1.867
0.02533,0.02533,-1.867
0.02548,0.02548,-1.867
0.02544,0.02544,-1.867
0.02547,0.02547,-1.867
0.02539,0.02539,-1.867
0.02554,0.02554,-1.867
0.02554,0.02554,-1.867
0.02553,0.02553,-1.867
0.02567,0.02567,-1.867
0.02560,0.02560,-1.867
0.02545,0.02545,-1.867
0.02553,0.02553,-1.867
0.02563,0.02563,-1.867
0.02568,0.02568,-1.867
