"Voltage (V) Run #1","Light Intensity (% of scale max) Run #1","Relative Intensity Run #1"
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.936,0.1,0.11
-0.936,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.938,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.938,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.937,0.1,0.11
-0.936,0.1,0.11
-0.936,0.1,0.11
-0.934,0.1,0.11
-0.934,0.1,0.11
-0.934,0.1,0.11
-0.934,0.1,0.11
-0.934,0.1,0.11
-0.934,0.1,0.11
-0.933,0.1,0.11
-0.931,0.1,0.11
-0.931,0.1,0.11
-0.931,0.1,0.11
-0.928,0.1,0.11
-0.927,0.1,0.11
-0.927,0.1,0.11
-0.924,0.1,0.11
-0.923,0.1,0.11
-0.923,0.1,0.11
-0.923,0.1,0.11
-0.923,0.1,0.11
-0.923,0.1,0.11
-0.923,0.1,0.11
-0.924,0.1,0.11
-0.920,0.1,0.11
-0.919,0.1,0.11
-0.919,0.1,0.11
-0.918,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.915,0.1,0.11
-0.913,0.1,0.11
-0.912,0.1,0.11
-0.911,0.1,0.11
-0.912,0.1,0.11
-0.911,0.1,0.11
-0.911,0.1,0.11
-0.908,0.1,0.11
-0.907,0.1,0.11
-0.907,0.1,0.11
-0.907,0.1,0.11
-0.905,0.1,0.11
-0.904,0.1,0.11
-0.904,0.1,0.11
-0.904,0.1,0.11
-0.904,0.1,0.11
-0.903,0.1,0.11
-0.904,0.1,0.11
-0.904,0.1,0.11
-0.902,0.1,0.11
-0.900,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.900,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.901,0.1,0.11
-0.900,0.1,0.11
-0.899,0.1,0.11
-0.899,0.1,0.11
-0.899,0.1,0.11
-0.899,0.1,0.11
-0.899,0.1,0.11
-0.899,0.1,0.11
-0.899,0.1,0.11
-0.900,0.1,0.11
-0.898,0.1,0.11
-0.897,0.1,0.11
-0.897,0.1,0.11
-0.897,0.1,0.11
-0.897,0.1,0.11
-0.896,0.1,0.11
-0.897,0.1,0.11
-0.897,0.1,0.11
-0.897,0.1,0.11
-0.897,0.1,0.11
-0.896,0.1,0.11
-0.894,0.1,0.11
-0.893,0.1,0.11
-0.892,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.889,0.1,0.11
-0.885,0.1,0.11
-0.885,0.1,0.11
-0.886,0.1,0.11
-0.885,0.1,0.11
-0.885,0.1,0.11
-0.886,0.1,0.11
-0.885,0.1,0.11
-0.885,0.1,0.11
-0.885,0.1,0.11
-0.882,0.1,0.11
-0.882,0.1,0.11
-0.882,0.1,0.11
-0.882,0.1,0.11
-0.882,0.1,0.11
-0.882,0.1,0.11
-0.882,0.1,0.11
-0.881,0.1,0.11
-0.878,0.1,0.11
-0.878,0.1,0.11
-0.878,0.1,0.11
-0.878,0.1,0.11
-0.879,0.1,0.11
-0.879,0.1,0.11
-0.878,0.1,0.11
-0.877,0.1,0.11
-0.875,0.1,0.11
-0.875,0.1,0.11
-0.875,0.1,0.11
-0.874,0.1,0.11
-0.874,0.1,0.11
-0.874,0.1,0.11
-0.874,0.1,0.11
-0.874,0.1,0.11
-0.874,0.1,0.11
-0.871,0.1,0.11
-0.871,0.1,0.11
-0.872,0.1,0.11
-0.871,0.1,0.11
-0.871,0.1,0.11
-0.872,0.1,0.11
-0.872,0.1,0.11
-0.871,0.1,0.11
-0.871,0.1,0.11
-0.871,0.1,0.11
-0.868,0.1,0.11
-0.868,0.1,0.11
-0.867,0.1,0.11
-0.867,0.1,0.11
-0.866,0.1,0.11
-0.867,0.1,0.11
-0.867,0.1,0.11
-0.867,0.1,0.11
-0.865,0.1,0.11
-0.865,0.1,0.11
-0.864,0.1,0.11
-0.863,0.1,0.11
-0.863,0.1,0.11
-0.862,0.1,0.11
-0.862,0.1,0.11
-0.861,0.1,0.11
-0.861,0.1,0.11
-0.860,0.1,0.11
-0.857,0.1,0.11
-0.855,0.1,0.11
-0.856,0.1,0.11
-0.856,0.1,0.11
-0.857,0.1,0.11
-0.856,0.1,0.11
-0.856,0.1,0.11
-0.857,0.1,0.11
-0.853,0.1,0.11
-0.852,0.1,0.11
-0.852,0.1,0.11
