Record Length,2000,Points,-80.000005662E-3,0.0,,Record Length,2000,Points,-80.000005662E-3,-5.36000061,
Sample Interval,79.999997979E-6,s,-79.920008779E-3,40.00000283E-3,,Sample Interval,79.999997979E-6,s,-79.920008779E-3,-5.28000021,
Trigger Point,1.0000001E3,Samples,-79.840004444E-3,60.000002384E-3,,Trigger Point,1.0000001E3,Samples,-79.840004444E-3,-5.20000029,
,,,-79.760007560E-3,120.0000048E-3,,,,,-79.760007560E-3,-5.20000029,
,,,-79.680003226E-3,160.00001132E-3,,,,,-79.680003226E-3,-5.04000044,
,,,-79.600006342E-3,200.00001788E-3,,,,,-79.600006342E-3,-4.96000051,
Source,CH1,,-79.520002007E-3,240.00000954E-3,,Source,CH2,,-79.520002007E-3,-4.88000011,
Vertical Units,V,,-79.440005124E-3,260.00002027E-3,,Vertical Units,V,,-79.440005124E-3,-4.72000027,
Vertical Scale,500.000035390E-3,,-79.360008240E-3,280.00003099E-3,,Vertical Scale,2.0000001,,-79.360008240E-3,-4.64000034,
Vertical Offset,0,,-79.280003905E-3,300.00001192E-3,,Vertical Offset,0,,-79.280003905E-3,-4.56000042,
Horizontal Units,s,,-79.200007021E-3,320.00002265E-3,,Horizontal Units,s,,-79.200007021E-3,-4.40000010,
Horizontal Scale,15.9999996E-3,,-79.120002687E-3,400.00003576E-3,,Horizontal Scale,15.9999996E-3,,-79.120002687E-3,-4.32000017,
Pt Fmt,Y,,-79.040005803E-3,420.000016689E-3,,Pt Fmt,Y,,-79.040005803E-3,-4.16000032,
Yzero,0.0,,-78.960008919E-3,440.000027418E-3,,Yzero,0.0,,-78.960008919E-3,-4.08000040,
,,,-78.880004585E-3,500.000059605E-3,,,,,-78.880004585E-3,-3.92000031,
,,,-78.800007701E-3,480.000019073E-3,,,,,-78.800007701E-3,-3.76000023,
Note,TBS1052C - 11:41:57   14-Jan-24,,-78.720003366E-3,520.000040531E-3,,Note,TBS1052C - 11:41:57   14-Jan-24,,-78.720003366E-3,-3.60000014,
,,,-78.640006483E-3,560.000061989E-3,,,,,-78.640006483E-3,-3.52000022,
,,,-78.560002148E-3,540.000021458E-3,,,,,-78.560002148E-3,-3.36000013,
,,,-78.480005264E-3,600.000023842E-3,,,,,-78.480005264E-3,-3.20000029,
,,,-78.400008380E-3,640.000045300E-3,,,,,-78.400008380E-3,-3.04000020,
,,,-78.320004046E-3,660.000026226E-3,,,,,-78.320004046E-3,-2.88000011,
,,,-78.240007162E-3,680.000066757E-3,,,,,-78.240007162E-3,-2.72000027,
,,,-78.160002828E-3,720.000028610E-3,,,,,-78.160002828E-3,-2.6400001,
,,,-78.080005944E-3,760.000050068E-3,,,,,-78.080005944E-3,-2.4000001,
,,,-78.000009060E-3,760.000050068E-3,,,,,-78.000009060E-3,-2.2400002,
,,,-77.920004725E-3,780.000030994E-3,,,,,-77.920004725E-3,-2.0800002,
,,,-77.840007842E-3,820.000052452E-3,,,,,-77.840007842E-3,-1.9200001,
,,,-77.760003507E-3,800.000071526E-3,,,,,-77.760003507E-3,-1.7600001,
,,,-77.680006623E-3,840.000033379E-3,,,,,-77.680006623E-3,-1.6000001,
,,,-77.600002289E-3,860.000073910E-3,,,,,-77.600002289E-3,-1.3600001,
,,,-77.520005405E-3,880.000054836E-3,,,,,-77.520005405E-3,-1.2000000,
,,,-77.440008521E-3,920.000076294E-3,,,,,-77.440008521E-3,-1.1200001,
,,,-77.360004187E-3,920.000076294E-3,,,,,-77.360004187E-3,-880.000054836E-3,
,,,-77.280007303E-3,960.000038147E-3,,,,,-77.280007303E-3,-720.000028610E-3,
,,,-77.200002968E-3,960.000038147E-3,,,,,-77.200002968E-3,-560.000061989E-3,
,,,-77.120006084E-3,1.0000001,,,,,-77.120006084E-3,-400.00003576E-3,
,,,-77.040009201E-3,1.0000001,,,,,-77.040009201E-3,-160.00001132E-3,
,,,-76.960004866E-3,1.0200001,,,,,-76.960004866E-3,0.0,
,,,-76.880007982E-3,1.0600001,,,,,-76.880007982E-3,160.00001132E-3,
,,,-76.800003648E-3,1.0600001,,,,,-76.800003648E-3,400.00003576E-3,
,,,-76.720006764E-3,1.0800000,,,,,-76.720006764E-3,560.000061989E-3,
,,,-76.640002429E-3,1.1000000,,,,,-76.640002429E-3,720.000028610E-3,
,,,-76.560005546E-3,1.1200001,,,,,-76.560005546E-3,960.000038147E-3,
,,,-76.480008662E-3,1.1000000,,,,,-76.480008662E-3,1.1200001,
,,,-76.400004327E-3,1.1400001,,,,,-76.400004327E-3,1.3600001,
,,,-76.320007443E-3,1.1400001,,,,,-76.320007443E-3,1.5200001,
,,,-76.240003109E-3,1.1600001,,,,,-76.240003109E-3,1.6800001,
,,,-76.160006225E-3,1.1600001,,,,,-76.160006225E-3,1.9200001,
,,,-76.080009341E-3,1.1800001,,,,,-76.080009341E-3,2.0800002,
,,,-76.000005007E-3,1.2000000,,,,,-76.000005007E-3,2.3200002,
,,,-75.920008123E-3,1.1800001,,,,,-75.920008123E-3,2.4800003,
,,,-75.840003788E-3,1.2200000,,,,,-75.840003788E-3,2.6400001,
,,,-75.760006905E-3,1.2200000,,,,,-75.760006905E-3,2.80000019,
,,,-75.680002570E-3,1.2400001,,,,,-75.680002570E-3,3.04000020,
,,,-75.600005686E-3,1.2400001,,,,,-75.600005686E-3,3.20000029,
,,,-75.520008802E-3,1.2600001,,,,,-75.520008802E-3,3.36000013,
,,,-75.440004468E-3,1.2400001,,,,,-75.440004468E-3,3.60000014,
,,,-75.360007584E-3,1.2600001,,,,,-75.360007584E-3,3.76000023,
,,,-75.280003250E-3,1.2600001,,,,,-75.280003250E-3,3.92000031,
,,,-75.200006366E-3,1.2600001,,,,,-75.200006366E-3,4.08000040,
,,,-75.120009482E-3,1.2800001,,,,,-75.120009482E-3,4.24000025,
,,,-75.040005147E-3,1.2800001,,,,,-75.040005147E-3,4.40000010,
,,,-74.960008264E-3,1.2800001,,,,,-74.960008264E-3,4.56000042,
,,,-74.880003929E-3,1.2600001,,,,,-74.880003929E-3,4.72000027,
,,,-74.800007045E-3,1.2800001,,,,,-74.800007045E-3,4.88000011,
,,,-74.720002711E-3,1.2800001,,,,,-74.720002711E-3,5.04000044,
,,,-74.640005827E-3,1.2800001,,,,,-74.640005827E-3,5.20000029,
,,,-74.560008943E-3,1.3000001,,,,,-74.560008943E-3,5.36000061,
,,,-74.480004609E-3,1.2800001,,,,,-74.480004609E-3,5.44000053,
,,,-74.400007725E-3,1.2800001,,,,,-74.400007725E-3,5.60000038,
,,,-74.320003390E-3,1.2600001,,,,,-74.320003390E-3,5.76000023,
,,,-74.240006506E-3,1.2800001,,,,,-74.240006506E-3,5.92000055,
,,,-74.160002172E-3,1.2600001,,,,,-74.160002172E-3,6.00000048,
,,,-74.080005288E-3,1.2800001,,,,,-74.080005288E-3,6.16000032,
,,,-74.000008404E-3,1.2800001,,,,,-74.000008404E-3,6.24000025,
,,,-73.920004070E-3,1.2600001,,,,,-73.920004070E-3,6.40000057,
,,,-73.840007186E-3,1.2400001,,,,,-73.840007186E-3,6.40000057,
,,,-73.760002851E-3,1.2400001,,,,,-73.760002851E-3,6.48000050,
,,,-73.680005968E-3,1.2200000,,,,,-73.680005968E-3,6.56000042,
,,,-73.600009084E-3,1.2400001,,,,,-73.600009084E-3,6.64000034,
,,,-73.520004749E-3,1.2000000,,,,,-73.520004749E-3,6.72000027,
,,,-73.440007865E-3,1.2000000,,,,,-73.440007865E-3,6.72000027,
,,,-73.360003531E-3,1.1800001,,,,,-73.360003531E-3,6.72000027,
,,,-73.280006647E-3,1.2000000,,,,,-73.280006647E-3,6.72000027,
,,,-73.200002313E-3,1.1400001,,,,,-73.200002313E-3,6.80000067,
,,,-73.120005429E-3,1.1400001,,,,,-73.120005429E-3,6.80000067,
,,,-73.040008545E-3,1.1200001,,,,,-73.040008545E-3,6.80000067,
